formula,year
P1Rh0.01Ru0.99Zr1,1954
P1Rh0.05Ru0.95Zr1,1954
Re0.18Si1V2.82,1954
Rh1Ti1,1954
Rh3Ti1,1954
Rh3V1,1954
Pt0.3Ta0.7,1954
Pt1Ti3,1954
Nb3Sb0.1Sn0.9,1954
Nb3Sb0.2Sn0.8,1954
Nb3Sb0.3Sn0.7,1954
Os1P1Zr1,1954
Os1Ti1,1954
Os2Zr1,1954
P0.2Si0.8V3,1954
P0.3Si0.7V3,1954
Al0.09Nb3Sn0.91,1954
Al0.125Si0.125V0.75,1954
Al0.15Ga0.85Nb3,1954
Al0.19Nb3Sn0.81,1954
P1Rh0.1Ru0.9Zr1,1954
Nb3Rh0.95Ru0.05,1954
Nb3Rh0.98Ru0.02,1954
Nb3Rh0.9Ru0.1,1954
Nb3Sb0.6Sn0.4,1954
Nb6Sn5,1954
Os0.5V0.5,1954
Os1Si1Zr1,1954
P1Rh1Ta1,1954
P1Rh1Zr1,1954
Nb3Pt0.7Rh0.3,1954
Sb0.014Si0.986V3,1954
Al0.9In0.1Nb3,1954
Al0.9Be0.1Nb3,1954
Nb3Pt0.95Rh0.05,1954
Nb3Pt0.98Rh0.02,1954
Nb3Pt0.9Rh0.1,1954
Nb3Pt1,1954
Nb3Sb0.4Sn0.6,1954
Nb3Sb0.65Sn0.35,1954
Ir1Nb1Si1,1954
Rh0.4Ta0.6,1954
Rh0.88Ti0.12,1954
Rh0.91Ti0.09,1954
Nb0.69Sn0.25Ta0.06,1954
Nb80Si20,1954
Nb81Si19,1954
Nb82Si18,1954
Rh1V3,1954
Rh1Zr3,1954
Rh23Zr77,1954
Rh24Zr76,1954
Rh43Zr57,1954
Ru1Si1Ta1,1954
Pt0.25V0.75,1954
Si2Ta1,1954
Si1Ta5,1954
Mo0.72Pt0.28,1954
Ir1Si1Ti1,1954
Ir1Si1Zr1,1954
Ir1V2,1954
Ir1Zr3,1954
Ir0.33V0.67,1954
Ir0.33V2.67,1954
Si2V5,1954
Si3Ti5,1954
Si1Ta1.86,1954
Si1Zr4,1954
Si0.3V0.7,1954
Si0.4Sn0.6V3,1954
Si0.16Ta0.84,1954
Si0.28Ta0.72,1954
Si1Ti0.15V2.85,1954
Si1Ti0.3V2.7,1954
Si1V2.7Zr0.3,1954
Si22.5V75,1954
Ir0.9Nb3Rh0.1,1954
Ru1Si1Zr1,1954
Si2Ta5,1954
Si2V1,1954
Si0.206V0.794,1954
Si0.22V0.78,1954
Si0.263V0.737,1954
Si0.2V0.8,1954
Pt8Ti1,1954
Re1Si1Ta1,1954
Si0.6Sn0.4V3,1954
Si0.8Sn0.2V3,1954
Ir1Nb3,1954
Ir1Si1Ta1,1954
Al0.25Cr0.75,1954
